Sample,name,Treatments,Organ,fish,FishFW,FishW
bc_001,R5M1,With_mint,Mucous,yes,241,yes
bc_002,R5M2,With_mint,Mucous,yes,337.8,yes
bc_003,R5M3,With_mint,Mucous,yes,306.2,yes
bc_004,R6M1,With_mint,Mucous,yes,393.7,yes
bc_005,R6M2,With_mint,Mucous,yes,396.4,yes
bc_006,R6M3,With_mint,Mucous,yes,421.2,yes
bc_007,R5I1,With_mint,Agut,yes,241,yes
bc_008,R5I2,With_mint,Agut,yes,337.8,yes
bc_009,R6I2,With_mint,Agut,yes,396.4,yes
bc_010,R6I3,With_mint,Agut,yes,421.2,yes
bc_011,R5P1,With_mint,Pgut,yes,241,yes
bc_012,R5P2,With_mint,Pgut,yes,337.8,yes
bc_013,R5P3,With_mint,Pgut,yes,306.2,yes
bc_014,R6P1,With_mint,Pgut,yes,393.7,yes
bc_015,R6P2,With_mint,Pgut,yes,396.4,yes
bc_016,R6P3,With_mint,Pgut,yes,421.2,yes
bc_017,R1W1,Without_mint,Water,no,0,no
bc_018,R1W2,Without_mint,Water,no,0,no
bc_019,R2W1,Without_mint,Water,no,0,no
bc_020,R2W2,Without_mint,Water,no,0,no
bc_021,R3W1,Without_mint,Water,no,0,no
bc_022,R3W2,Without_mint,Water,no,0,no
bc_023,R4W1,With_mint,Water,no,0,no
bc_024,R4W2,With_mint,Water,no,0,no
bc_025,R5W1,With_mint,Water,no,0,no
bc_026,R5W2,With_mint,Water,no,0,no
bc_027,R6W1,With_mint,Water,no,0,no
bc_028,R6W2,With_mint,Water,no,0,no
bc_030,R4S2R1,With_mint,Root,no,0,no
bc_031,R4S3R1,With_mint,Root,no,0,no
bc_032,R4S1R2,With_mint,Root,no,0,no
bc_033,R4S2R2,With_mint,Root,no,0,no
bc_034,R4S3R2,With_mint,Root,no,0,no
bc_035,R5S1R1,With_mint,Root,no,0,no
bc_036,R5S2R1,With_mint,Root,no,0,no
bc_037,R5S3R1,With_mint,Root,no,0,no
bc_038,R5S1R2,With_mint,Root,no,0,no
bc_039,R5S2R2,With_mint,Root,no,0,no
bc_040,R5S3R2,With_mint,Root,no,0,no
bc_041,R6S1R1,With_mint,Root,no,0,no
bc_042,R6S2R1,With_mint,Root,no,0,no
bc_043,R6S3R1,With_mint,Root,no,0,no
bc_044,R6S1R2,With_mint,Root,no,0,no
bc_045,R6S2R2,With_mint,Root,no,0,no
bc_046,R6S3R2,With_mint,Root,yes,0,no
bc_048,R1M1,Without_mint,Mucous,yes,232.6,yes
bc_049,R1M2,Without_mint,Mucous,yes,372.2,yes
bc_050,R1M3,Without_mint,Mucous,yes,260.4,yes
