"";"we.ep";"we.eBH";"wi.ep";"wi.eBH";"rab.all";"rab.win.With_mint";"rab.win.Without_mint";"diff.btw";"diff.win";"effect";"effect.low";"effect.high";"overlap"
"Otu0001";0,618138902220291;0,967592915394332;0,663149167009461;0,983355508965873;2,4848666469501;2,86520777069122;2,10696323767649;-0,352806731994852;3,84808519394724;-0,0706238488122674;-4,23468498179433;5,08206914998514;0,454861113968824
"Otu0002";0,108013587719092;0,914846225235863;0,118795473827643;0,942755301988527;7,62812828601997;8,08052401569604;5,23632834863059;-3,76217149877784;6,32752636697112;-0,593515268736415;-8,10468825792597;2,42659545626069;0,264527339001899
"Otu0003";0,00526593714554124;0,801640111489225;0,00832251388317565;0,760508079120215;6,58537711633758;4,06530551952889;8,79832719418247;3,50454521179555;3,51071967227365;1,01642091238303;-0,813267439270977;10,8647515217478;0,13529926827875
"Otu0004";0,766292997050957;0,979048866051736;0,83595533602427;0,990946171536621;3,34971373014109;3,28215825235575;3,48732137212658;0,0561771276655607;5,5180636985114;0,00806733589634545;-4,27232494071861;4,054653517949;0,496527777995821
"Otu0005";0,629440631887862;0,96839754064741;0,489173693953106;0,974318594911225;6,52965280025182;6,75453040211474;6,27427089104944;-0,403383139998468;1,66278300397994;-0,219047337824037;-4,26300468292516;3,73092358776803;0,389756951720704
"Otu0006";0,739982324403005;0,97746496453395;0,89179783910942;0,993221198043178;9,47192105713409;8,20648826275696;9,58876205884738;0,205334081034236;2,92245644294337;0,0800428243077428;-5,04447212888045;4,8455481770106;0,468343453857062
"Otu0007";0,56212208892349;0,963192488882927;0,616175827848622;0,981157788934294;4,53518446574214;4,11243038816017;4,82690837867761;0,712476695517642;3,69455875339903;0,161636541071143;-3,46611010832474;5,30557303542487;0,406250006101378
"Otu0008";0,634434283770874;0,970046338934538;0,645166758792678;0,982296957108629;3,74180712024143;3,58928120385777;3,94408015243338;0,449175982065782;3,03265857491808;0,12315982931031;-3,72486411165926;5,13676931171605;0,429687504504231
"Otu0009";0,763520223928926;0,978093780181688;0,760139538770053;0,987150232220649;4,65538954669383;4,56376353195842;4,85710250733565;0,863047951558209;5,20867289061037;0,154112410809546;-4,81471074256495;4,6460880108834;0,44704861447382
"Otu0010";0,951828558534001;0,992739410101742;0,7128375989819;0,986491118877089;9,212023990175;9,38313614214043;8,0695206098225;-0,315609712887662;3,14346033730624;-0,0888654015967974;-5,09448802119076;5,52435493337673;0,448784725472301
"Otu0011";0,836148979860929;0,983840307529446;0,774050191536405;0,988205458640721;8,69589575338316;7,94713981338518;9,00933875441754;-0,318477158665057;2,64772907425391;-0,124692607630031;-5,19573112205241;4,89831163885671;0,460069446967912
"Otu0012";0,588221327203317;0,965526902827682;0,662112910067873;0,983391229406715;3,4417805606129;3,63816013700193;3,26510067932321;2,09661593489135;6,68701021018377;0,259519238701112;-3,91095904650085;5,8391140133495;0,414570690685246
"Otu0013";0,330508912695772;0,943763475270536;0,365433302910325;0,968185753080723;5,38027951001879;5,95620906091316;3,76191102643167;-1,66458689378992;4,23642435648703;-0,333461598045088;-5,86816259488774;2,95142587409765;0,354726809599066
"Otu0014";0,407341850391643;0,952010019656409;0,34457559903332;0,967199992511761;5,93963842267739;6,74455989141;5,39614825506976;-1,36975831979477;4,98897872823038;-0,261793644480109;-6,64676962340405;3,53987484490349;0,357328717454977
"Otu0015";0,664680432478927;0,971030370129546;0,687886125822707;0,983138674572813;0,586957903849118;0,602747321881431;0,560680171282432;0,126840175655015;6,09099730551035;0,0208049930892202;-4,29029659486581;3,53640141510791;0,486111111983915
"Otu0016";0,656209357235952;0,970614925220186;0,637639474496092;0,982371610653576;3,13392326377642;2,92985386665394;3,42906002849067;0,620215603036537;3,53788780230493;0,149861442345464;-4,16410319069609;4,86242961266967;0,428819449006569
"Otu0017";0,34212825233062;0,944177850599603;0,300197963800905;0,964842318608072;5,59424000108063;6,27514999464373;3,82847423426441;-1,57728922468651;5,11746780591994;-0,275945217496459;-6,56878140062095;2,83947036003083;0,346921086043458
"Otu0018";0,453037466818329;0,945678185759302;0,474465883381325;0,955094409864072;0,155277694855362;-0,190994096364866;0,658176788438353;1,04496932436197;4,68256727956962;0,194711606340527;-2,78260277481753;5,01196368942827;0,401909728628185
"Otu0019";0,586305198275269;0,964434311475078;0,551993778280543;0,978441351770248;4,46668018093487;4,68290252695142;4,16441865457281;-0,713078059236538;4,22609388706009;-0,139956573933908;-5,86944918490797;4,31410509949016;0,408854172586745
"Otu0020";0,805191732761287;0,981431451151635;0,730329436188811;0,98688645854137;8,04061952278272;8,15125988827736;6,63797297342419;-0,493429828977123;3,64279807229188;-0,153228283401797;-5,70966599460674;4,53104178359931;0,449652780971632
"Otu0021";0,682044196795782;0,972329195387772;0,753021679607157;0,987143871762756;3,74146121219869;3,26150889050489;4,18359498159508;0,31407767033588;3,93205661536741;0,0737558573759719;-4,46818140559718;4,67056437241669;0,463139638056069
"Otu0022";0,335945985857647;0,930929317535348;0,327898434286302;0,931267993642109;0,0748040195899513;-0,729916827406734;0,984447751573414;1,53893098039475;4,12506465175746;0,334266379622484;-3,42189587461899;4,91798153323602;0,331597234149841
"Otu0024";0,621392613140255;0,968418014828757;0,675356238430687;0,984661806537886;0,825127249210852;0,748120132546305;0,880856201326678;-0,323447237441311;6,79234547738585;-0,0501671047550917;-5,36292003913627;3,16699954383776;0,473547269659361
"Otu0026";0,390556120305911;0,945992834462475;0,300128226552859;0,959876839359303;3,15660177482651;4,19956238359568;2,38156378269294;-1,41050695931411;3,82202456522732;-0,316336253743572;-6,72808608776003;3,2319252780404;0,332465289628323
"Otu0027";0,777829397695809;0,980384416534161;0,803085310828877;0,988924614494517;7,11507497285322;7,5129264360676;6,74938616216676;-0,240260883987572;2,64284314121672;-0,0927305493418136;-3,62653372795338;3,33015820547429;0,454861113968824
"Otu0028";0,587632955922989;0,965732713903219;0,662350402354998;0,984076890781913;3,40137384575783;3,01297909112481;3,7383762281621;0,565227525383134;4,45662169530039;0,115509621196671;-3,47217446669214;5,08279023716751;0,432291670997722
"Otu0029";0,416590643932231;0,950051372518656;0,325500372788976;0,960587491261886;3,00860354699131;2,64916964423184;3,78583201243304;1,35986697159551;3,91936095045406;0,301695312294036;-3,94423137401266;6,10967348428163;0,346053783427339
"Otu0030";0,52437990784316;0,96228250084915;0,606937249331551;0,980878351269648;6,57302277404037;6,50678301417483;6,63236033188778;-0,445934194547678;2,61543958781163;-0,181419263541269;-4,52744295828545;3,13351415188137;0,420641809092671
"Otu0031";0,780647865447474;0,980483337605827;0,895286790415467;0,993398056374989;7,20677571745312;6,76557176533085;7,38101100824307;0,182532016848268;3,16254381745295;0,0611840919745754;-4,93184813392274;4,56097879820117;0,475281874927047
"Otu0032";0,595297743999364;0,967752933052989;0,649352118469765;0,982021858284916;1,75297740328232;2,09282387749904;1,57579398281794;-0,678759180587381;4,65214913299304;-0,121176158698486;-4,00556885247556;3,41275220655864;0,442324374869672
"Otu0033";0,507831194709305;0,957374552936877;0,54253859651378;0,973171651791591;0,527288913182135;0,849283603609374;0,141661379004669;-0,597810759122212;3,98834390127411;-0,126777878079967;-4,57948256100853;3,75988175516171;0,42621528251411
"Otu0034";0,824504386261871;0,982574762891446;0,768305224187577;0,988133389148121;6,95513312483626;6,90065733257024;7,00976806325216;-0,224888326440921;2,68880622204151;-0,0870808311101619;-4,1406794854727;3,79792785101677;0,440104170482484
"Otu0035";0,165722556557049;0,91252204405025;0,114531217863019;0,909482451663769;2,03136365677553;3,921667612703;0,27003916014303;-3,01635247623983;4,88118802091485;-0,521109635551646;-7,89671571638299;2,39026983033708;0,256721615816674
"Otu0036";0,471457347491346;0,955335730485303;0,462624852169889;0,971130526695131;1,84812720800449;2,42039628510518;1,10582310195105;-1,27348959502697;4,82218700156037;-0,249808202757921;-5,34927375589783;3,07772898594216;0,384215098735955
"Otu0037";0,217408565766926;0,925308890137839;0,17339652534965;0,931066074685512;2,11724915025605;3,27959028706058;1,16297418752389;-2,01885281506542;3,84121184184187;-0,469916687709405;-6,07156349640814;2,35731764346595;0,276669575164016
"Otu0038";0,495827457911896;0,957194163501284;0,52577112685109;0,974750060787714;0,714279321580422;0,260625700146767;1,2316429287183;1,34225045389639;5,58889240898371;0,206614535319472;-3,47108569817929;4,59730347117174;0,405030361770034
"Otu0039";0,461494948999493;0,954974768218958;0,411739156982723;0,966554795104289;1,83995708751553;2,81285311373572;1,27715055831517;-1,57845123207639;4,25774879527513;-0,309173636967673;-5,80480404004963;3,3519973554036;0,363715287022371
"Otu0040";0,550755160049145;0,962900461280057;0,67809800493624;0,985152815966434;2,56727329209572;2,31206515502662;2,76336459043159;0,679372347098031;4,51982588810282;0,136966376837021;-3,35239576117002;5,03839338522889;0,431049440659169
"Otu0041";0,794958963934387;0,981488843965293;0,891860345536816;0,993829008596483;5,8781380746374;5,26572691436691;6,09730738734519;0,092482555201463;2,75669372774946;0,030976634602562;-4,42908257147146;3,98109188421873;0,484822203901119
"Otu0042";0,567163251609292;0,962626637759043;0,576090247069107;0,97376589458407;0,444584984616399;0,16267328698334;0,702256328104284;0,585692928256829;4,55384921431442;0,102896274815819;-3,60865527998996;4,65170121993984;0,445793585398417
"Otu0043";0,536120576597121;0,961237587483354;0,581432538050185;0,978731628967322;0,401894937043662;0,712531688747535;0,0311679061803671;-0,546365491474476;4,19699864680402;-0,11104616642432;-4,18407962107162;4,24849645905853;0,440104170482484
"Otu0044";0,693987825967088;0,973436920102317;0,747875584893048;0,987263824373562;2,13847462126261;2,00376362593821;2,33130763626021;0,221405491461691;5,2807008605685;0,0398535681457498;-4,51120759323113;4,60802204474018;0,479618388096736
"Otu0046";0,3945225383821;0,949527197549092;0,448354586589881;0,970944142773613;2,69837028612627;2,09834701129287;3,25239913455905;1,80957534337719;5,47963605918186;0,285335871879655;-2,69720998869896;5,07990230251626;0,380208341313517
"Otu0048";0,551052231724825;0,95890084481236;0,603828317821884;0,975198195719392;-0,17026810388649;-0,201089597096702;-0,117559768386125;0,1042187255605;4,79998750027364;0,0208152047988882;-3,96403946971951;3,62962025720698;0,489583333987715
"Otu0049";0,540898565818124;0,961246304227464;0,567329384769642;0,976530416219367;1,23682581070712;1,78635915066842;0,346773572224447;-0,995014501167717;4,61860956319235;-0,192096909297069;-5,02805589109847;4,27074913714003;0,414930561056591
"Otu0050";0,606015924626281;0,966163012603206;0,667476572141094;0,983023191748807;1,80805600197801;2,31844428135749;1,52724100189285;-0,55722481729145;5,05250055919344;-0,102725602068528;-4,00842382304003;3,57799335541906;0,443191677501758
"Otu0051";0,525051257238407;0,958247797407457;0,57774160582065;0,976415326688878;0,336253197839112;0,562459070711442;0,0975254233263927;-0,317290700035795;4,18614600563111;-0,0616530636695176;-4,2301175558749;3,39921551434799;0,459201391467942
"Otu0052";0,403211787286019;0,940885121280753;0,395742492801316;0,952742312769888;0,389583540530437;-0,357802194999869;1,09303145996483;1,46789438134885;4,33152894645252;0,303359647308192;-2,98153498264535;4,57094345539259;0,344618066355505
"Otu0053";0,4727049802102;0,950496855825457;0,514177068336076;0,966551252818014;-0,347006305316513;-0,651510348137375;-0,0365091586055675;0,758073693768282;4,57778788224139;0,148165023152076;-3,93438841785232;5,09881990318365;0,421006949531658
"Otu0054";0,598214403005213;0,966043783869647;0,660880938914027;0,981499147694994;0,471807442326432;0,681615535010909;0,278716676365764;0,0205380672057878;4,65016848405697;0,00318054830662171;-3,7038781732235;3,65297305536771;0,499131944498953
