"";"baseMean";"log2FoldChange";"lfcSE";"stat";"pvalue";"padj"
"Otu0001";17,0979439026299;-3,05275912696606;1,77904355794457;-1,71595524647699;0,0861702338574527;0,254053620510766
"Otu0002";38,3067755319334;2,74047424880322;1,70166531189187;1,61046607088466;0,107296146748189;0,295929695063553
"Otu0003";1813,07858911798;-1,67612656909164;1,77877825716072;-0,942290902389977;0,34604372465303;0,672425874041683
"Otu0004";17,6458899086146;-1,09027416627792;1,46634379317541;-0,743532431720457;0,457159393908156;0,791065173994
"Otu0005";180,946430901123;-4,62534239752615;1,34803526298817;-3,43117314844809;0,000600976872094872;0,0342556817094077
"Otu0006";361,257787147546;-0,121626599405708;0,738545013864164;-0,164684070872461;0,869192655385149;0,979087082726919
"Otu0007";25,7376706562539;-1,15732107141749;1,78221527262854;-0,649372210636815;0,516097821558649;0,840502166538372
"Otu0008";21,6335498955846;-1,23134584531972;1,82382379752704;-0,675145179588801;0,499583531880693;0,829405669432995
"Otu0009";32,6201994479387;-1,26205310130956;1,60138178381566;-0,788102571207245;0,430636711347681;0,767071642088057
"Otu0010";160,049939914615;0,0339031629419376;0,966465638761383;0,0350795326623177;0,972016321935528;0,994049854978152
"Otu0011";263,710496658947;0,147840777266459;0,748891836404534;0,197412723813695;0,843504573381423;0,977540565009245
"Otu0012";29,2285189240421;-0,0405996880694381;1,87035375429468;-0,0217069567594973;0,982681714389785;0,994049854978152
"Otu0013";143,975239911934;-5,27692460570618;1,70583241537451;-3,09346015361518;0,00197837118231258;0,0483287817393502
"Otu0014";274,393173015742;-5,99145854136293;1,73299078590178;-3,45729393953195;0,000545629346647608;0,0342556817094077
"Otu0015";3,47361000634861;-1,78148086665322;1,90848275435423;-0,933454002971075;0,350585608896342;0,673597068778365
"Otu0016";15,1824228706321;-2,29977907105745;1,60324087538503;-1,43445636046744;0,151442073957589;0,386516338011161
"Otu0017";230,395686349681;-6,00048337996915;1,87129685698374;-3,20659085039081;0,00134317884693256;0,0459367165650937
"Otu0018";0,469832118901977;-2,93617458738023;3,01032551536528;-0,975367804044256;0,329377848094026;NA
"Otu0019";82,8234778709955;-1,76147933199183;2,03287697973292;-0,86649578383403;0,386218337474463;0,705564409430503
"Otu0020";79,3956618144238;-0,193591479308164;0,997123701954461;-0,194149912321516;0,846058500709756;0,977540565009245
"Otu0021";11,0601157554124;0,420683855072251;1,25103518882155;0,336268602858827;0,736668324034118;0,976719636377107
"Otu0022";6,44673698543506;-6,12369909437673;2,28253508148674;-2,6828499347261;0,00729977376493529;0,0780163321127459
"Otu0023";1,80237369437551;-4,58119950011219;2,82120425553263;-1,62384538132185;0,104408811868943;NA
"Otu0024";11,2132898025232;-0,573363779969689;2,03105312985033;-0,282298759960032;0,777714436334646;0,977540565009245
"Otu0026";62,8333366056376;-2,53252578316015;2,23014137079562;-1,13558979548308;0,256128281596244;0,568804365622828
"Otu0027";92,302194113623;0,15236307952603;0,767924996497451;0,198408803230741;0,842725230376888;0,977540565009245
"Otu0028";42,7386775653509;-6,05744241807133;1,73857822334683;-3,4841356786412;0,000493729130722678;0,0342556817094077
"Otu0029";6,51368029853194;-2,52201471335035;1,79910095585084;-1,40181945051417;0,160969168671046;0,398923591923896
"Otu0030";79,2180023161353;0,0840991336156489;0,795500333977542;0,105718539670686;0,915805670253864;0,980321806563424
"Otu0031";103,392160571898;-0,252170279423634;0,781181514355799;-0,322806255383022;0,746841975314387;0,976719636377107
"Otu0032";31,0161293500592;-4,0926411036082;2,40164179421263;-1,7041013832581;0,0883621482604315;0,256100463602268
"Otu0033";2,29204998496608;-4,11135296850947;2,09869870813442;-1,95900104792276;0,0501126640614153;NA
"Otu0034";78,05287678174;0,383303272784347;0,802860165218543;0,477422207988125;0,63306150330083;0,941334930995147
"Otu0035";24,3140967576297;-2,37489430853246;2,01802541117384;-1,17684063609042;0,239259119914693;0,545510793405499
"Otu0036";19,5071820238645;-3,04933411779228;1,81208928162349;-1,68277255912044;0,092419129114145;0,263394517975313
"Otu0037";50,3048601836852;-2,20507101988875;1,9113646320868;-1,15366319061857;0,248638280534362;0,559436131202313
"Otu0038";8,45190830656349;-1,44529160751086;2,4834539535896;-0,581968353156629;0,560587997649075;0,904344788660299
"Otu0039";15,9414458262678;-1,21545728047834;2,28939660370806;-0,530907261114002;0,595483045801227;0,922159957523887
"Otu0040";36,2757240266798;-0,781847950378459;2,0757764195743;-0,376653257550156;0,70643130379396;0,976719636377107
"Otu0041";63,8184782875727;-0,170653369360155;0,793778350781344;-0,214988691984576;0,829776134920317;0,977540565009245
"Otu0042";1,01108797075738;-2,65690285166409;3,00686600763949;-0,883611988333948;0,376905705251309;NA
"Otu0043";20,2579635958875;-2,61675577970232;2,54806149117759;-1,02695943122353;0,304439567431858;0,631039115193479
"Otu0044";14,2478770590128;-0,605954099394517;1,41422617425946;-0,428470431691603;0,668308656332823;0,945168719735835
"Otu0045";1,8424948927481;3,11256044320583;2,64554364312166;1,17652961473472;0,23938330539841;NA
"Otu0046";14,1887235443752;0,849774275986848;1,56828060500954;0,54185091193019;0,587921215345804;0,922159957523887
"Otu0048";0,455936972812283;-1,74738326094763;2,72132751641186;-0,642106931418381;0,52080375571109;NA
"Otu0049";9,54646522000724;-2,32188260770837;2,17907495572902;-1,06553590623576;0,286633485947552;0,620434507557359
"Otu0050";48,717593688514;-2,42033199245683;2,37909018993002;-1,01733511520554;0,308994037169595;0,631039115193479
"Otu0051";3,18988176035155;-3,91674828392153;2,77923038382549;-1,40929240940807;0,158748722384598;0,398923591923896
"Otu0052";0,891756439647247;0,355276659649584;2,52271727624712;0,140830945661143;0,888003495590337;NA
"Otu0053";2,73515207895591;-5,25669115745136;2,54884898994109;-2,06237842186675;0,0391717220332468;NA
"Otu0054";1,8050081598888;-3,17546978529355;2,31090859400643;-1,37412176038873;0,169403884954696;NA
"Otu0055";0,243736045159512;-1,36748926322206;3,0254401733692;-0,451996795461068;0,651271291004425;NA
"Otu0056";47,1193666929025;0,149396080134901;0,866597021873353;0,172393945933424;0,863127831373605;0,979087082726919
"Otu0057";34,3307979469429;-1,69451276926823;2,49325108439967;-0,67963984047609;0,496732536731751;0,829405669432995
"Otu0058";2,99800002642385;-5,3699360246482;2,97441703818028;-1,80537428199156;0,0710161328079937;NA
"Otu0059";8,20825744362707;-4,19173587127815;2,76303361399785;-1,51707740725351;0,129247141642532;0,345332206576139
"Otu0060";37,6293414122531;-2,18277635194101;2,44803054687487;-0,891645880288349;0,372582770113051;0,700128062520129
"Otu0061";0,75560285043868;-0,555456984058268;2,52852968893013;-0,219675879816659;0,826123590934623;NA
