"";"Kingdom";"Phylum";"Class";"Order";"Family";"Genus"
"Otu0004";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Pseudomonadales";"Pseudomonadaceae";"Pseudomonas"
"Otu0019";"Bacteria";"Verrucomicrobiota";"Verrucomicrobiae";"Pedosphaerales";"Pedosphaeraceae";"uncultured"
"Otu0032";"Bacteria";"Myxococcota";"Polyangia";"Haliangiales";"Haliangiaceae";"Haliangium"
"Otu0042";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Azospirillales";"Azospirillaceae";"Azospirillum"
"Otu0071";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Legionellales";"Legionellaceae";"Legionella"
"Otu0105";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Sphingomonadales";"Sphingomonadaceae";"Sphingopyxis"
"Otu0118";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Xanthomonadales";"Xanthomonadaceae";"Pseudoxanthomonas"
"Otu0121";"Bacteria";"Bacteroidota";"Bacteroidia";"Chitinophagales";"Chitinophagaceae";"Ferruginibacter"
"Otu0126";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Azospirillales";"Azospirillaceae";"Niveispirillum"
"Otu0260";"Bacteria";"Patescibacteria";"Gracilibacteria";"Candidatus_Abawacabacteria";"Candidatus_Abawacabacteria_fa";"Candidatus_Abawacabacteria_ge"
"Otu0284";"Bacteria";"Myxococcota";"Polyangia";"mle1-27";"mle1-27_fa";"mle1-27_ge"
"Otu0387";"Bacteria";"Verrucomicrobiota";"Verrucomicrobiae";"Pedosphaerales";"Pedosphaeraceae";"Pedosphaeraceae_unclassified"
"Otu0426";"Bacteria";"Bacteroidota";"Bacteroidia";"Sphingobacteriales";"KD3-93";"KD3-93_ge"
"Otu0469";"Bacteria";"Bacteroidota";"Bacteroidia";"Bacteroidia_unclassified";"Bacteroidia_unclassified";"Bacteroidia_unclassified"
"Otu0493";"Bacteria";"Bacteria_unclassified";"Bacteria_unclassified";"Bacteria_unclassified";"Bacteria_unclassified";"Bacteria_unclassified"
"Otu0580";"Bacteria";"Bacteroidota";"Bacteroidia";"Sphingobacteriales";"NS11-12_marine_group";"NS11-12_marine_group_ge"
"Otu0625";"Bacteria";"Bacteria_unclassified";"Bacteria_unclassified";"Bacteria_unclassified";"Bacteria_unclassified";"Bacteria_unclassified"
